programa,threads,rep,tempo_s,maquina
laplace2d_1loop_gcc_i500,42,3,2.681249,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,43,1,2.715901,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,43,2,2.611999,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,43,3,2.470845,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,44,1,2.508376,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,44,2,2.274484,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,44,3,2.523091,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,45,1,2.471909,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,45,2,2.456237,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,45,3,2.488116,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,46,1,2.345407,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,46,2,2.605072,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,46,3,2.474395,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,47,1,2.450581,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,47,2,2.305432,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,47,3,2.358803,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,48,1,2.528227,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,48,2,2.401286,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
laplace2d_1loop_gcc_i500,48,3,2.313781,Intel(R) Xeon(R) Gold 6252 CPU @ 2.10GHz (48 nucleos fisicos)
